event_id,symbol,etf_name,ex_date,dividend,entry_day,exit_day,holding_days,entry_date,exit_date,entry_price,exit_price,raw_return,net_return,entry_premium,exit_premium,premium_change_entry_to_exit,entry_volume_ratio,dividend_yield_on_entry,entry_year
0056_20161026,0056,元大高股息,2016-10-26,1.3,-10,-1,9,2016-10-12,2016-10-25,12.113459587097168,12.297804832458496,0.015218216070798318,0.013618216070798318,0.0016,0.0088,0.007200000000000001,0.9328391726390068,0.052062476401620573,2016
0056_20171030,0056,元大高股息,2017-10-30,0.95,-10,-1,9,2017-10-16,2017-10-27,13.489234924316406,13.494348526000977,0.0003790875993532339,-0.0012209124006467662,-0.0042,0.0053,0.0095,1.3955151575171219,0.03601213154748232,2017
0056_20181023,0056,元大高股息,2018-10-23,1.45,-10,-1,9,2018-10-08,2018-10-22,14.162704467773438,13.69061279296875,-0.03333344107256564,-0.03493344107256564,0.0191,0.0113999999999999,-0.007700000000000099,10.685149260323296,0.05430711455306965,2018
0056_20191023,0056,元大高股息,2019-10-23,1.8,-10,-1,9,2019-10-07,2019-10-22,15.97238063812256,16.31520652770996,0.021463668901625654,0.019863668901625654,0.0018,0.0028,0.001,6.258409381254589,0.06333567892920025,2019
0056_20201028,0056,元大高股息,2020-10-28,1.6,-10,-1,9,2020-10-14,2020-10-27,17.81910514831543,17.789148330688477,-0.0016811628517600097,-0.0032811628517600095,0.0027,0.0037,0.001,0.6648804482067843,0.053799596917072985,2020
0056_20211022,0056,元大高股息,2021-10-22,1.8,-10,-1,9,2021-10-07,2021-10-21,20.62629508972168,20.518630981445312,-0.005219750217285379,-0.006819750217285379,0.0065,0.0065,0.0,5.358945186472133,0.055265582341594024,2021
0056_20221019,0056,元大高股息,2022-10-19,2.1,-10,-1,9,2022-10-04,2022-10-18,17.61517906188965,17.326847076416016,-0.016368382317352492,-0.017968382317352493,0.0034,0.0039,0.0005,4.9846593094018425,0.07993909263063523,2022
0056_20230718,0056,元大高股息,2023-07-18,1.0,-10,-1,9,2023-07-04,2023-07-17,24.749509811401367,26.23112297058105,0.0598643435958941,0.0582643435958941,0.0018,-0.0011,-0.0029,3.445771490862602,0.029489826142724575,2023
0056_20231019,0056,元大高股息,2023-10-19,1.2,-10,-1,9,2023-10-03,2023-10-18,26.726619720458984,26.20109367370605,-0.019663019575597462,-0.021263019575597463,0.0023,0.004,0.0017000000000000001,1.8788821509991338,0.03370786661331805,2023
0056_20240117,0056,元大高股息,2024-01-17,0.7,-10,-1,9,2024-01-03,2024-01-16,28.517986297607425,28.27696418762207,-0.008451582361745369,-0.01005158236174537,0.0025,0.005,0.0025,3.6841824423921645,0.019083969306871177,2024
0056_20240418,0056,元大高股息,2024-04-18,0.79,-10,-1,9,2024-04-02,2024-04-17,31.61439514160156,30.869216918945312,-0.02357085180085139,-0.02517085180085139,-0.001,0.0044,0.0054,0.9011840154218901,0.019809427754294093,2024
0056_20240716,0056,元大高股息,2024-07-16,1.07,-10,-1,9,2024-07-02,2024-07-15,33.256221771240234,34.28384780883789,0.03090026415707703,0.029300264157077028,0.0017,0.0045,0.0027999999999999995,3.189739335564483,0.026034064226881502,2024
0056_20241017,0056,元大高股息,2024-10-17,1.07,-10,-1,9,2024-09-30,2024-10-16,32.09233474731445,32.39117813110352,0.00931198637126518,0.00771198637126518,0.0089,0.0069999999999999,-0.0019000000000000995,1.6224735629655997,0.027677185830915763,2024
0056_20250117,0056,元大高股息,2025-01-17,1.07,-10,-1,9,2025-01-03,2025-01-16,31.39255714416504,31.05968475341797,-0.010603544949154942,-0.012203544949154942,,,,1.8474091258049663,0.029091898736067743,2025
0056_20250423,0056,元大高股息,2025-04-23,1.07,-10,-1,9,2025-04-09,2025-04-22,25.229398727416992,28.122556686401367,0.11467407488551662,0.11307407488551662,0.0095,0.005,-0.0045,13.16926370896771,0.03729522412276757,2025
0056_20250721,0056,元大高股息,2025-07-21,0.866,-10,-1,9,2025-07-07,2025-07-18,31.689058303833008,32.389617919921875,0.022107303075147966,0.020507303075147965,0.0011,0.0023,0.0012,1.4351172454037582,0.024863622006125418,2025
0056_20251023,0056,元大高股息,2025-10-23,0.866,-10,-1,9,2025-10-08,2025-10-22,34.903648376464844,35.20205307006836,0.008549384018111006,0.006949384018111006,-0.0016,0.0011,0.0027,1.012250048433194,0.0231365213181751,2025
00713_20181122,00713,元大台灣高息低波,2018-11-22,1.55,-10,-1,9,2018-11-08,2018-11-21,17.05845069885254,17.26641082763672,0.012191032612250519,0.010591032612250518,-0.0034,0.0132,0.0166,0.0,0.05248899302264371,2018
00713_20191122,00713,元大台灣高息低波,2019-11-22,1.6,-10,-1,9,2019-11-08,2019-11-21,20.483301162719727,20.50767135620117,0.0011897590768130684,-0.0004102409231869317,0.0066,0.0098999999999999,0.0032999999999999002,5.9356451109028425,0.04759072132160543,2019
00713_20201120,00713,元大台灣高息低波,2020-11-20,1.7,-10,-1,9,2020-11-06,2020-11-19,22.18998908996582,22.631357192993164,0.019890415503941217,0.018290415503941216,-0.008,0.0031,0.0111,1.3840943849683198,0.04900547902273808,2020
00713_20211119,00713,元大台灣高息低波,2021-11-19,3.15,-10,-1,9,2021-11-05,2021-11-18,30.076595306396484,31.07779693603516,0.03328839649033499,0.031688396490334995,0.0029,0.0019,-0.0009999999999999998,101.99927307767081,0.0703753377596664,2021
00713_20220919,00713,元大台灣高息低波,2022-09-19,1.45,-10,-1,9,2022-09-02,2022-09-16,28.878557205200195,28.828081130981445,-0.0017478738241695213,-0.003347873824169521,0.0023,0.001,-0.0013,7.578879315564771,0.0362047447596012,2022
00713_20221216,00713,元大台灣高息低波,2022-12-16,1.45,-10,-1,9,2022-12-02,2022-12-15,29.471534729003903,29.20966529846192,-0.00888550368855634,-0.01048550368855634,0.001,0.0040999999999999,0.0030999999999998997,2.530574398844579,0.03681137401543233,2022
00713_20230317,00713,元大台灣高息低波,2023-03-17,0.68,-10,-1,9,2023-03-03,2023-03-16,30.8259506225586,30.53843879699707,-0.009326941092000829,-0.01092694109200083,0.0015,0.0051,0.0036000000000000003,3.0205665190454756,0.01714141747887252,2023
00713_20230616,00713,元大台灣高息低波,2023-06-16,0.68,-10,-1,9,2023-06-02,2023-06-15,35.34614562988281,37.02251434326172,0.047427199868764314,0.045827199868764316,-0.0013,-0.0002,0.0010999999999999998,2.3456418830381316,0.015212527704558445,2023
00713_20230918,00713,元大台灣高息低波,2023-09-18,0.84,-10,-1,9,2023-09-04,2023-09-15,38.35449981689453,39.14083862304688,0.02050186574994739,0.01890186574994739,0.001,-0.0004,-0.0014,1.2228096168161184,0.017573222037809717,2023
00713_20231218,00713,元大台灣高息低波,2023-12-18,0.84,-10,-1,9,2023-12-04,2023-12-15,40.79824447631836,41.76166534423828,0.023614272630753774,0.022014272630753774,0.0028,0.0034999999999999,0.0006999999999998999,1.3356048918442178,0.016810085640982107,2023
00713_20240318,00713,元大台灣高息低波,2024-03-18,0.88,-10,-1,9,2024-03-04,2024-03-15,43.08149719238281,45.115211486816406,0.04720621210892295,0.045606212108922954,-0.0002,0.0015,0.0017000000000000001,1.7063708595136864,0.01695568350920386,2024
00713_20240619,00713,元大台灣高息低波,2024-06-19,1.5,-10,-1,9,2024-06-04,2024-06-18,48.64207458496094,50.1186408996582,0.030355742991969192,0.02875574299196919,0.0028,0.0032,0.0004000000000000002,3.8670387447585868,0.02601907997047762,2024
00713_20240918,00713,元大台灣高息低波,2024-09-18,1.5,-10,-1,9,2024-09-03,2024-09-16,50.72455978393555,50.42160034179688,-0.005972638174271738,-0.007572638174271738,0.0053,0.0046999999999999,-0.0006000000000001005,1.4669315898528448,0.025597270291097866,2024
00713_20241217,00713,元大台灣高息低波,2024-12-17,1.4,-10,-1,9,2024-12-03,2024-12-16,49.39983749389648,49.44426727294922,0.0008993911985688552,-0.0007006088014311449,,,,1.8166266353212288,0.025179856806140512,2024
00713_20250321,00713,元大台灣高息低波,2025-03-21,1.4,-10,-1,9,2025-03-07,2025-03-20,50.12782669067383,50.21896743774414,0.0018181667366654608,0.00021816673666546073,0.0031,0.0025,-0.0005999999999999998,1.8067345290613477,0.025454545454545452,2025
00713_20250620,00713,元大台灣高息低波,2025-06-20,1.1,-10,-1,9,2025-06-06,2025-06-19,47.97454071044922,48.30186080932617,0.0068227875458464204,0.005222787545846421,0.0029,0.0037,0.0008000000000000004,0.8026185765399907,0.021442495445600892,2025
00713_20250919,00713,元大台灣高息低波,2025-09-19,0.78,-10,-1,9,2025-09-05,2025-09-18,49.20960235595703,49.54404067993164,0.006796200496713034,0.005196200496713034,-0.0046,-0.0037,0.0008999999999999998,0.9491564483394391,0.015145631067961166,2025
00878_20210225,00878,國泰永續高股息,2021-02-25,0.15,-10,-1,9,2021-02-02,2021-02-24,11.15196418762207,11.66222858428955,0.04575556270471526,0.04415556270471526,-0.006,0.0012,0.0072,0.5412041595481774,0.00903070406310028,2021
00878_20210518,00878,國泰永續高股息,2021-05-18,0.25,-10,-1,9,2021-05-04,2021-05-17,12.705190658569336,11.838313102722168,-0.06823018867981179,-0.06983018867981179,0.0016,0.0063,0.0047,3.106560605871349,0.013326225850206232,2021
00878_20210817,00878,國泰永續高股息,2021-08-17,0.3,-10,-1,9,2021-08-03,2021-08-16,12.70402717590332,12.50477695465088,-0.015684020389248876,-0.017284020389248877,-0.0005,0.0121999999999999,0.0126999999999999,1.4882756923151725,0.01622498668002189,2021
00878_20211116,00878,國泰永續高股息,2021-11-16,0.28,-10,-1,9,2021-11-02,2021-11-15,12.812155723571776,13.168437957763672,0.027808141102781736,0.026208141102781735,0.0022,0.0021,-0.00010000000000000026,2.548719055161027,0.015267175445496942,2021
00878_20220222,00878,國泰永續高股息,2022-02-22,0.3,-10,-1,9,2022-02-08,2022-02-21,13.81374168395996,14.005204200744627,0.013860293696311698,0.012260293696311698,0.0036,0.0040999999999999,0.0004999999999998998,2.168333823763686,0.01540041103951482,2022
00878_20220518,00878,國泰永續高股息,2022-05-18,0.32,-10,-1,9,2022-05-04,2022-05-17,13.558768272399902,12.88190460205078,-0.04992073444657508,-0.051520734446575074,0.0021,0.0045,0.0024,1.7538675685606229,0.016994158326954407,2022
00878_20220816,00878,國泰永續高股息,2022-08-16,0.28,-10,-1,9,2022-08-02,2022-08-15,12.310030937194824,12.705945014953612,0.032161907616538254,0.030561907616538254,0.0024,0.0034999999999999,0.0010999999999999,2.0958857732050964,0.01667659230090076,2022
00878_20221116,00878,國泰永續高股息,2022-11-16,0.28,-10,-1,9,2022-11-02,2022-11-15,11.789328575134276,12.497285842895508,0.06005068594444274,0.05845068594444274,0.0032,0.0006,-0.0026000000000000003,1.384266711714875,0.01769911538567265,2022
00878_20230216,00878,國泰永續高股息,2023-02-16,0.27,-10,-1,9,2023-02-02,2023-02-15,12.974743843078612,13.00505828857422,0.002336419575002191,0.0007364195750021909,0.0029,0.0034999999999999,0.0005999999999999001,2.0443511850233116,0.01577102726427729,2023
00878_20230517,00878,國泰永續高股息,2023-05-17,0.27,-10,-1,9,2023-05-03,2023-05-16,13.62104606628418,13.836642265319824,0.01582816752740479,0.01422816752740479,0.0017,0.0006,-0.0010999999999999998,1.76127881762989,0.015262859912309407,2023
00878_20230816,00878,國泰永續高股息,2023-08-16,0.35,-10,-1,9,2023-08-01,2023-08-15,17.096460342407227,16.752498626708984,-0.020118884775526036,-0.021718884775526037,-0.005,0.0060999999999999,0.0110999999999999,2.7641224767086485,0.01600365736484665,2023
00878_20231116,00878,國泰永續高股息,2023-11-16,0.35,-10,-1,9,2023-11-02,2023-11-15,15.862422943115234,16.442562103271484,0.03657317436539853,0.034973174365398534,0.0015,0.0039,0.0024,0.7565233607943029,0.017535070944581007,2023
00878_20240227,00878,國泰永續高股息,2024-02-27,0.4,-10,-1,9,2024-02-02,2024-02-26,17.663227081298828,18.115922927856445,0.025629283056487262,0.02402928305648726,-0.0005,0.0049,0.0054,1.084476423846302,0.018306635835998748,2024
00878_20240517,00878,國泰永續高股息,2024-05-17,0.51,-10,-1,9,2024-05-03,2024-05-16,18.354612350463867,19.399921417236328,0.05695075694399199,0.05535075694399199,0.0027,,,1.121591718846031,0.02286995593938976,2024
00878_20240816,00878,國泰永續高股息,2024-08-16,0.55,-10,-1,9,2024-08-02,2024-08-15,19.240079879760746,19.45880889892578,0.011368404940726107,0.009768404940726106,0.0056999999999999,0.0069999999999999,0.0013000000000000008,4.467710073649421,0.024048971570498467,2024
00878_20241118,00878,國泰永續高股息,2024-11-18,0.55,-10,-1,9,2024-11-04,2024-11-15,19.69148826599121,19.588077545166016,-0.005251544191496871,-0.006851544191496871,0.0018,,,2.3680670696796624,0.02407002148000068,2024
00878_20250220,00878,國泰永續高股息,2025-02-20,0.5,-10,-1,9,2025-02-06,2025-02-19,19.69404983520508,20.27692604064941,0.029596563953158128,0.027996563953158127,,,,1.619606351745145,0.022421525430774275,2025
00878_20250519,00878,國泰永續高股息,2025-05-19,0.47,-10,-1,9,2025-05-05,2025-05-16,18.40812492370605,19.193565368652344,0.042668139650377856,0.04106813965037786,0.002,0.0043,0.0023,1.5128355729526555,0.02305051564830398,2025
00878_20250818,00878,國泰永續高股息,2025-08-18,0.4,-10,-1,9,2025-08-04,2025-08-15,19.461294174194336,19.535154342651367,0.0037952341604789996,0.0021952341604789998,0.0009,0.0028,0.0019,1.2560035037320965,0.01897533213698781,2025
00878_20251118,00878,國泰永續高股息,2025-11-18,0.4,-10,-1,9,2025-11-04,2025-11-17,20.29736328125,19.864501953125,-0.02132598811614428,-0.02292598811614428,-0.0009,0.0052,0.0060999999999999995,1.6489974863578314,0.01854427471762928,2025
00919_20230616,00919,群益台灣精選高息,2023-06-16,0.54,-10,-1,9,2023-06-02,2023-06-15,13.814146041870115,14.529166221618652,0.05175999859718727,0.050159998597187276,0.001,0.0025,0.0015,17.637607717376216,0.027950311000505074,2023
00919_20230918,00919,群益台灣精選高息,2023-09-18,0.54,-10,-1,9,2023-09-04,2023-09-15,15.278393745422363,16.07904052734375,0.05240385836772088,0.05080385836772088,0.001,0.0009,-0.00010000000000000005,3.8752792934147977,0.025961539413802054,2023
00919_20231218,00919,群益台灣精選高息,2023-12-18,0.55,-10,-1,9,2023-12-04,2023-12-15,16.6589412689209,17.208717346191406,0.033001861786749576,0.03140186178674958,0.0018,0.0018,0.0,3.316932753701075,0.02486437518684385,2023
00919_20240318,00919,群益台灣精選高息,2024-03-18,0.66,-10,-1,9,2024-03-04,2024-03-15,18.991323471069336,19.93278694152832,0.0495733471073343,0.0479733471073343,-0.0004,0.0078,0.008199999999999999,2.6305769451098984,0.026818365852554597,2024
00919_20240830,00919,群益台灣精選高息,2024-08-30,0.7,-10,-1,9,2024-08-16,2024-08-29,20.082395553588867,20.1637020111084,0.004048643365407667,0.002448643365407667,0.0012,0.0004,-0.0007999999999999999,0.5414229827420031,0.028340080096284807,2024
00919_20240923,00919,群益台灣精選高息,2024-09-23,0.72,-10,-1,9,2024-09-06,2024-09-20,19.67586898803711,19.65960693359375,-0.0008264973940030895,-0.0024264973940030894,0.0004,0.0092,0.0088,1.0053158514617053,0.029752065177726265,2024
00919_20241220,00919,群益台灣精選高息,2024-12-20,0.72,-10,-1,9,2024-12-06,2024-12-19,19.9361515045166,20.086990356445312,0.007566096791275845,0.005966096791275845,,,,1.2690527622136554,0.030264815985360797,2024
00919_20250318,00919,群益台灣精選高息,2025-03-18,0.72,-10,-1,9,2025-03-04,2025-03-17,20.70903968811035,20.510332107543945,-0.009595209800118853,-0.011195209800118854,0.0021,0.0055,0.0034,2.8235959313543098,0.030037547794123792,2025
00919_20250617,00919,群益台灣精選高息,2025-06-17,0.72,-10,-1,9,2025-06-03,2025-06-16,19.77082061767578,20.038110733032227,0.013519424434890626,0.011919424434890625,0.0,0.0076,0.0076,2.3048554652092474,0.03244704743899987,2025
00919_20250916,00919,群益台灣精選高息,2025-09-16,0.54,-10,-1,9,2025-09-02,2025-09-15,19.605499267578125,20.05652236938477,0.023004928140366587,0.021404928140366587,0.0019,0.0023,0.00039999999999999996,1.7648789180744069,0.025352113584137453,2025
00929_20231121,00929,復華台灣科技優息,2023-11-21,0.11,-10,-1,9,2023-11-07,2023-11-20,14.767547607421877,15.119355201721191,0.023823020832687503,0.022223020832687502,-0.0017,0.0011,0.0028,0.6462550207791632,0.006239365016238429,2023
00929_20231219,00929,復華台灣科技優息,2023-12-19,0.11,-10,-1,9,2023-12-05,2023-12-18,15.59130859375,16.307666778564453,0.04594599487958417,0.044345994879584176,0.0005,0.0046999999999999,0.0041999999999999,0.997102630156758,0.005945945945945946,2023
00929_20240118,00929,復華台灣科技優息,2024-01-18,0.13,-10,-1,9,2024-01-04,2024-01-17,15.93472385406494,15.663493156433104,-0.017021361657462597,-0.018621361657462598,0.0005,0.0054,0.0049,2.0848629203245133,0.006914893897640711,2024
00929_20240229,00929,復華台灣科技優息,2024-02-29,0.13,-10,-1,9,2024-02-05,2024-02-27,15.893963813781738,16.781709671020508,0.05585427698463752,0.05425427698463752,0.0038,0.002,-0.0018,1.1454663951131956,0.006981739749768573,2024
00929_20240319,00929,復華台灣科技優息,2024-03-19,0.13,-10,-1,9,2024-03-05,2024-03-18,17.125415802001953,18.07062149047852,0.055193152645442556,0.05359315264544256,-0.0069999999999999,-0.0076,-0.0006000000000000996,1.1969083585339284,0.006522829804786268,2024
00929_20240423,00929,復華台灣科技優息,2024-04-23,0.2,-10,-1,9,2024-04-09,2024-04-22,18.105207443237305,16.903385162353516,-0.06637992327078779,-0.06797992327078779,0.0005,0.0026,0.0021,1.0859173457464653,0.00955109813272031,2024
00929_20240521,00929,復華台灣科技優息,2024-05-21,0.2,-10,-1,9,2024-05-07,2024-05-20,17.672115325927734,17.83808708190918,0.009391731149351434,0.0077917311493514345,,,,0.8256390507203533,0.00988630768786913,2024
00929_20240620,00929,復華台灣科技優息,2024-06-20,0.2,-10,-1,9,2024-06-05,2024-06-19,18.12039566040039,18.98495101928711,0.047711726338077964,0.04611172633807797,0.0044,0.0037,-0.0007000000000000001,1.4995468727383157,0.0097370979106826,2024
00929_20240717,00929,復華台灣科技優息,2024-07-17,0.18,-10,-1,9,2024-07-03,2024-07-16,18.4328556060791,18.521902084350582,0.004830856388964078,0.003230856388964078,0.001,0.0043,0.0033,0.7763234655698125,0.00869565185341759,2024
00929_20240820,00929,復華台灣科技優息,2024-08-20,0.18,-10,-1,9,2024-08-06,2024-08-19,16.491859436035156,17.803300857543945,0.07952053111993274,0.07792053111993273,0.0055,0.0,-0.0055,2.564499147610931,0.009803921242710316,2024
00929_20240919,00929,復華台灣科技優息,2024-09-19,0.16,-10,-1,9,2024-09-04,2024-09-18,17.277538299560547,17.17783546447754,-0.005770662078957378,-0.007370662078957378,0.0074,0.0101,0.0026999999999999993,2.396585248888062,0.008394543781908187,2024
00929_20241119,00929,復華台灣科技優息,2024-11-19,0.11,-10,-1,9,2024-11-05,2024-11-18,16.788482666015625,16.558250427246094,-0.013713701431492864,-0.015313701431492865,-0.0049,,,0.9003068523917264,0.006034010025351102,2024
00929_20241218,00929,復華台灣科技優息,2024-12-18,0.05,-10,-1,9,2024-12-04,2024-12-17,16.58605194091797,16.576786041259766,-0.0005586561341547336,-0.0021586561341547334,,,,5.540580668784028,0.0027932961489138502,2024
00929_20250116,00929,復華台灣科技優息,2025-01-16,0.05,-10,-1,9,2025-01-02,2025-01-15,16.73474884033203,16.651119232177734,-0.004997362610709932,-0.006597362610709932,,,,0.6733624921436004,0.002776235389481963,2025
00929_20250219,00929,復華台灣科技優息,2025-02-19,0.05,-10,-1,9,2025-02-05,2025-02-18,16.96792984008789,17.396554946899414,0.02526089575163537,0.02366089575163537,,,,0.9317353654005626,0.002745744234695438,2025
00929_20250319,00929,復華台灣科技優息,2025-03-19,0.05,-10,-1,9,2025-03-05,2025-03-18,17.40589714050293,17.23772621154785,-0.00966172140381949,-0.01126172140381949,-0.0032,-0.0065,-0.0032999999999999995,1.1192488016411437,0.0026838433844536234,2025
00929_20250422,00929,復華台灣科技優息,2025-04-22,0.05,-10,-1,9,2025-04-08,2025-04-21,14.53964614868164,15.448373794555664,0.06249998360217468,0.06089998360217468,-0.0171,-0.003,0.014100000000000001,4.258835128770676,0.0032216493895132698,2025
00929_20250520,00929,復華台灣科技優息,2025-05-20,0.07,-10,-1,9,2025-05-06,2025-05-19,15.918216705322266,16.538402557373047,0.038960761970492586,0.03736076197049259,,0.0,,1.1176984492556319,0.004132231274684204,2025
00929_20250618,00929,復華台灣科技優息,2025-06-18,0.07,-10,-1,9,2025-06-04,2025-06-17,16.161029815673828,16.670482635498047,0.0315235369054343,0.0299235369054343,-0.0069999999999999,-0.0034,0.0035999999999999006,0.5592445335104437,0.004086398332133215,2025
00929_20250717,00929,復華台灣科技優息,2025-07-17,0.07,-10,-1,9,2025-07-03,2025-07-16,16.717844009399414,16.689428329467773,-0.0016997215619229955,-0.0032997215619229954,-0.0079,-0.004,0.0039000000000000007,1.2611705292178614,0.0039660057514397246,2025
00929_20250819,00929,復華台灣科技優息,2025-08-19,0.08,-10,-1,9,2025-08-05,2025-08-18,17.12687110900879,16.841585159301758,-0.016657213561732775,-0.018257213561732776,-0.0072,-0.0051,0.0020999999999999994,2.112366650129479,0.00444197662317114,2025
00929_20250917,00929,復華台灣科技優息,2025-09-17,0.08,-10,-1,9,2025-09-03,2025-09-16,16.77471160888672,17.567596435546875,0.0472666740953156,0.0456666740953156,-0.0056999999999999,-0.0076,-0.0019000000000001004,0.48467087912271,0.004555808794593644,2025
00929_20251021,00929,復華台灣科技優息,2025-10-21,0.08,-10,-1,9,2025-10-03,2025-10-20,17.749893188476562,17.865026473999023,0.006486421315324176,0.004886421315324176,-0.0054,-0.0048,0.0006000000000000007,0.7905306847003887,0.004324324324324324,2025
00929_20251119,00929,復華台灣科技優息,2025-11-19,0.09,-10,-1,9,2025-11-05,2025-11-18,17.82648277282715,16.891799926757812,-0.052432263726979844,-0.05403226372697984,-0.0059,0.0011,0.007,1.327939660063827,0.004864864864864865,2025
