date,symbol,previous_weight,target_weight,weight_change,abs_weight_change,action
2016-10-13,0056,0.0,1.0,1.0,1.0,buy/increase
2016-10-26,0056,1.0,0.0,-1.0,1.0,sell/decrease
2017-10-17,0056,0.0,1.0,1.0,1.0,buy/increase
2017-10-30,0056,1.0,0.0,-1.0,1.0,sell/decrease
2018-10-09,0056,0.0,1.0,1.0,1.0,buy/increase
2018-10-23,0056,1.0,0.0,-1.0,1.0,sell/decrease
2018-11-09,00713,0.0,1.0,1.0,1.0,buy/increase
2018-11-22,00713,1.0,0.0,-1.0,1.0,sell/decrease
2019-10-08,0056,0.0,1.0,1.0,1.0,buy/increase
2019-10-23,0056,1.0,0.0,-1.0,1.0,sell/decrease
2019-11-11,00713,0.0,1.0,1.0,1.0,buy/increase
2019-11-22,00713,1.0,0.0,-1.0,1.0,sell/decrease
2020-10-15,0056,0.0,1.0,1.0,1.0,buy/increase
2020-10-28,0056,1.0,0.0,-1.0,1.0,sell/decrease
2020-11-04,00878,0.0,1.0,1.0,1.0,buy/increase
2020-11-09,00713,0.0,0.5,0.5,0.5,buy/increase
2020-11-09,00878,1.0,0.5,-0.5,0.5,sell/decrease
2020-11-17,00713,0.5,1.0,0.5,0.5,buy/increase
2020-11-17,00878,0.5,0.0,-0.5,0.5,sell/decrease
2020-11-20,00713,1.0,0.0,-1.0,1.0,sell/decrease
2021-02-03,00878,0.0,1.0,1.0,1.0,buy/increase
2021-02-25,00878,1.0,0.0,-1.0,1.0,sell/decrease
2021-05-05,00878,0.0,1.0,1.0,1.0,buy/increase
2021-05-18,00878,1.0,0.0,-1.0,1.0,sell/decrease
2021-08-04,00878,0.0,1.0,1.0,1.0,buy/increase
2021-08-17,00878,1.0,0.0,-1.0,1.0,sell/decrease
2021-10-08,0056,0.0,1.0,1.0,1.0,buy/increase
2021-10-22,0056,1.0,0.0,-1.0,1.0,sell/decrease
2021-11-03,00878,0.0,1.0,1.0,1.0,buy/increase
2021-11-08,00713,0.0,0.5,0.5,0.5,buy/increase
2021-11-08,00878,1.0,0.5,-0.5,0.5,sell/decrease
2021-11-16,00713,0.5,1.0,0.5,0.5,buy/increase
2021-11-16,00878,0.5,0.0,-0.5,0.5,sell/decrease
2021-11-19,00713,1.0,0.0,-1.0,1.0,sell/decrease
2022-02-09,00878,0.0,1.0,1.0,1.0,buy/increase
2022-02-22,00878,1.0,0.0,-1.0,1.0,sell/decrease
2022-05-05,00878,0.0,1.0,1.0,1.0,buy/increase
2022-05-18,00878,1.0,0.0,-1.0,1.0,sell/decrease
2022-08-03,00878,0.0,1.0,1.0,1.0,buy/increase
2022-08-16,00878,1.0,0.0,-1.0,1.0,sell/decrease
2022-09-05,00713,0.0,1.0,1.0,1.0,buy/increase
2022-09-19,00713,1.0,0.0,-1.0,1.0,sell/decrease
2022-10-05,0056,0.0,1.0,1.0,1.0,buy/increase
2022-10-19,0056,1.0,0.0,-1.0,1.0,sell/decrease
2022-11-03,00878,0.0,1.0,1.0,1.0,buy/increase
2022-11-16,00878,1.0,0.0,-1.0,1.0,sell/decrease
2022-12-05,00713,0.0,1.0,1.0,1.0,buy/increase
2022-12-16,00713,1.0,0.0,-1.0,1.0,sell/decrease
2023-02-03,00878,0.0,1.0,1.0,1.0,buy/increase
2023-02-16,00878,1.0,0.0,-1.0,1.0,sell/decrease
2023-03-06,00713,0.0,1.0,1.0,1.0,buy/increase
2023-03-17,00713,1.0,0.0,-1.0,1.0,sell/decrease
2023-05-04,00878,0.0,1.0,1.0,1.0,buy/increase
2023-05-17,00878,1.0,0.0,-1.0,1.0,sell/decrease
2023-06-05,00713,0.0,0.5,0.5,0.5,buy/increase
2023-06-05,00919,0.0,0.5,0.5,0.5,buy/increase
2023-06-16,00713,0.5,0.0,-0.5,0.5,sell/decrease
2023-06-16,00919,0.5,0.0,-0.5,0.5,sell/decrease
2023-07-05,0056,0.0,1.0,1.0,1.0,buy/increase
2023-07-18,0056,1.0,0.0,-1.0,1.0,sell/decrease
2023-08-02,00878,0.0,1.0,1.0,1.0,buy/increase
2023-08-16,00878,1.0,0.0,-1.0,1.0,sell/decrease
2023-09-05,00713,0.0,0.5,0.5,0.5,buy/increase
2023-09-05,00919,0.0,0.5,0.5,0.5,buy/increase
2023-09-18,00713,0.5,0.0,-0.5,0.5,sell/decrease
2023-09-18,00919,0.5,0.0,-0.5,0.5,sell/decrease
2023-10-04,0056,0.0,1.0,1.0,1.0,buy/increase
2023-10-19,0056,1.0,0.0,-1.0,1.0,sell/decrease
2023-11-03,00878,0.0,1.0,1.0,1.0,buy/increase
2023-11-16,00878,1.0,0.0,-1.0,1.0,sell/decrease
2023-12-05,00713,0.0,0.5,0.5,0.5,buy/increase
2023-12-05,00919,0.0,0.5,0.5,0.5,buy/increase
2023-12-18,00713,0.5,0.0,-0.5,0.5,sell/decrease
2023-12-18,00919,0.5,0.0,-0.5,0.5,sell/decrease
2024-01-04,0056,0.0,1.0,1.0,1.0,buy/increase
2024-01-17,0056,1.0,0.0,-1.0,1.0,sell/decrease
2024-02-05,00878,0.0,1.0,1.0,1.0,buy/increase
2024-02-27,00878,1.0,0.0,-1.0,1.0,sell/decrease
2024-03-05,00713,0.0,0.5,0.5,0.5,buy/increase
2024-03-05,00919,0.0,0.5,0.5,0.5,buy/increase
2024-03-18,00713,0.5,0.0,-0.5,0.5,sell/decrease
2024-03-18,00919,0.5,0.0,-0.5,0.5,sell/decrease
2024-04-03,0056,0.0,1.0,1.0,1.0,buy/increase
2024-04-18,0056,1.0,0.0,-1.0,1.0,sell/decrease
2024-05-06,00878,0.0,1.0,1.0,1.0,buy/increase
2024-05-17,00878,1.0,0.0,-1.0,1.0,sell/decrease
2024-06-05,00713,0.0,1.0,1.0,1.0,buy/increase
2024-06-11,00713,1.0,0.5,-0.5,0.5,sell/decrease
2024-06-11,00919,0.0,0.5,0.5,0.5,buy/increase
2024-06-19,00713,0.5,0.0,-0.5,0.5,sell/decrease
2024-06-19,00919,0.5,1.0,0.5,0.5,buy/increase
2024-06-24,00919,1.0,0.0,-1.0,1.0,sell/decrease
2024-07-03,0056,0.0,1.0,1.0,1.0,buy/increase
2024-07-16,0056,1.0,0.0,-1.0,1.0,sell/decrease
2024-08-05,00878,0.0,1.0,1.0,1.0,buy/increase
2024-08-16,00878,1.0,0.0,-1.0,1.0,sell/decrease
2024-09-04,00713,0.0,1.0,1.0,1.0,buy/increase
2024-09-09,00713,1.0,0.5,-0.5,0.5,sell/decrease
2024-09-09,00919,0.0,0.5,0.5,0.5,buy/increase
2024-09-18,00713,0.5,0.0,-0.5,0.5,sell/decrease
2024-09-18,00919,0.5,1.0,0.5,0.5,buy/increase
2024-09-23,00919,1.0,0.0,-1.0,1.0,sell/decrease
2024-10-01,0056,0.0,1.0,1.0,1.0,buy/increase
2024-10-17,0056,1.0,0.0,-1.0,1.0,sell/decrease
2024-11-05,00878,0.0,1.0,1.0,1.0,buy/increase
2024-11-18,00878,1.0,0.0,-1.0,1.0,sell/decrease
2024-12-04,00713,0.0,1.0,1.0,1.0,buy/increase
2024-12-09,00713,1.0,0.5,-0.5,0.5,sell/decrease
2024-12-09,00919,0.0,0.5,0.5,0.5,buy/increase
2024-12-17,00713,0.5,0.0,-0.5,0.5,sell/decrease
2024-12-17,00919,0.5,1.0,0.5,0.5,buy/increase
2024-12-20,00919,1.0,0.0,-1.0,1.0,sell/decrease
2025-01-06,0056,0.0,1.0,1.0,1.0,buy/increase
2025-01-17,0056,1.0,0.0,-1.0,1.0,sell/decrease
2025-02-07,00878,0.0,1.0,1.0,1.0,buy/increase
2025-02-20,00878,1.0,0.0,-1.0,1.0,sell/decrease
2025-03-05,00919,0.0,1.0,1.0,1.0,buy/increase
2025-03-10,00713,0.0,0.5,0.5,0.5,buy/increase
2025-03-10,00919,1.0,0.5,-0.5,0.5,sell/decrease
2025-03-18,00713,0.5,1.0,0.5,0.5,buy/increase
2025-03-18,00919,0.5,0.0,-0.5,0.5,sell/decrease
2025-03-21,00713,1.0,0.0,-1.0,1.0,sell/decrease
2025-04-10,0056,0.0,1.0,1.0,1.0,buy/increase
2025-04-23,0056,1.0,0.0,-1.0,1.0,sell/decrease
2025-05-06,00878,0.0,1.0,1.0,1.0,buy/increase
2025-05-19,00878,1.0,0.0,-1.0,1.0,sell/decrease
2025-06-04,00919,0.0,1.0,1.0,1.0,buy/increase
2025-06-09,00713,0.0,0.5,0.5,0.5,buy/increase
2025-06-09,00919,1.0,0.5,-0.5,0.5,sell/decrease
2025-06-17,00713,0.5,1.0,0.5,0.5,buy/increase
2025-06-17,00919,0.5,0.0,-0.5,0.5,sell/decrease
2025-06-20,00713,1.0,0.0,-1.0,1.0,sell/decrease
2025-07-08,0056,0.0,1.0,1.0,1.0,buy/increase
2025-07-21,0056,1.0,0.0,-1.0,1.0,sell/decrease
2025-08-05,00878,0.0,1.0,1.0,1.0,buy/increase
2025-08-18,00878,1.0,0.0,-1.0,1.0,sell/decrease
2025-09-03,00919,0.0,1.0,1.0,1.0,buy/increase
2025-09-08,00713,0.0,0.5,0.5,0.5,buy/increase
2025-09-08,00919,1.0,0.5,-0.5,0.5,sell/decrease
2025-09-16,00713,0.5,1.0,0.5,0.5,buy/increase
2025-09-16,00919,0.5,0.0,-0.5,0.5,sell/decrease
2025-09-19,00713,1.0,0.0,-1.0,1.0,sell/decrease
2025-10-09,0056,0.0,1.0,1.0,1.0,buy/increase
2025-10-23,0056,1.0,0.0,-1.0,1.0,sell/decrease
2025-11-05,00878,0.0,1.0,1.0,1.0,buy/increase
2025-11-18,00878,1.0,0.0,-1.0,1.0,sell/decrease
2025-12-03,00919,0.0,1.0,1.0,1.0,buy/increase
2025-12-08,00713,0.0,0.5,0.5,0.5,buy/increase
2025-12-08,00919,1.0,0.5,-0.5,0.5,sell/decrease
2025-12-16,00713,0.5,1.0,0.5,0.5,buy/increase
2025-12-16,00919,0.5,0.0,-0.5,0.5,sell/decrease
2025-12-19,00713,1.0,0.0,-1.0,1.0,sell/decrease
2026-01-09,0056,0.0,1.0,1.0,1.0,buy/increase
2026-01-22,0056,1.0,0.0,-1.0,1.0,sell/decrease
2026-02-04,00878,0.0,1.0,1.0,1.0,buy/increase
2026-02-26,00878,1.0,0.0,-1.0,1.0,sell/decrease
2026-03-04,00919,0.0,1.0,1.0,1.0,buy/increase
2026-03-09,00713,0.0,0.5,0.5,0.5,buy/increase
2026-03-09,00919,1.0,0.5,-0.5,0.5,sell/decrease
2026-03-17,00713,0.5,1.0,0.5,0.5,buy/increase
2026-03-17,00919,0.5,0.0,-0.5,0.5,sell/decrease
2026-03-20,00713,1.0,0.0,-1.0,1.0,sell/decrease
2026-04-10,0056,0.0,1.0,1.0,1.0,buy/increase
